"","Df","AIC","BIC","Chisq","Chisq diff","RMSEA","Df diff","Pr(>Chisq)"
"imfit",12,195.857978902261,200.699340390165,6.91665148350715,NA,NA,NA,NA
"hcfit",17,233.379083344614,239.128200111501,13.308740482815,6.39208899930789,0.166858562819407,5,0.269913829819355
