"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"1","sars.cov.2","~","health","c",-0.0309675543661615,0.140703616982962,-0.220090677341375,0.825800535212919,-0.306741576147285,0.244806467414962
"2","vaccine","~","health","a",0.145901462758124,0.219732439873522,0.663996007335581,0.506692866516688,-0.284766205629092,0.57656913114534
"3","sars.cov.2","~","vaccine","b",0.0299267161888004,0.198172007570303,0.151013841741416,0.879964796991166,-0.358483281392993,0.418336713770593
"4","sars.cov.2","~~","sars.cov.2","",0.701275652676706,0.313620006070129,2.23606797749979,0.0253473186774682,0.0865917359480195,1.31595956940539
"5","vaccine","~~","vaccine","",1.78568209120539,0.798581308427846,2.23606797749978,0.0253473186774686,0.220491487959934,3.35087269445084
"6","health","~~","health","",3.69841623536505,0,NA,NA,3.69841623536505,3.69841623536505
"7","ab",":=","a*b","ab",0.00436635166749321,0.0296519394618736,0.147253493253197,0.882931939234715,-0.0537503817495411,0.0624830850845275
"8","total",":=","c+(a*b)","total",-0.0266012026986683,0.137857732682526,-0.192961266524878,0.846989302783817,-0.29679739374677,0.243594988349434
