"","Df","AIC","BIC","Chisq","Chisq diff","RMSEA","Df diff","Pr(>Chisq)"
"covidfit",12,184.945150887013,189.786512374918,12.1450595248096,NA,NA,NA,NA
"hcfit",17,233.379083344614,239.128200111501,13.308740482815,1.16368095800542,0,5,0.94831386681085
