"","Df","AIC","BIC","Chisq","Chisq diff","RMSEA","Df diff","Pr(>Chisq)"
"imfit",12,184.945150887013,189.786512374918,12.1450595248096,NA,NA,NA,NA
"covidfit",12,184.945150887013,189.786512374918,12.1450595248096,0,0,0,NA
